Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/P06/current/BQSM/,SDN:P06::BQSM,Becquerels per square metre,Bq/m^2,One radioactive disintegration per second per SI unit area.,1,false,2015-03-26 14:48:06.0
http://vocab.nerc.ac.uk/collection/P06/current/BSM3/,SDN:P06::BSM3,Becquerels second per cubic metre,Bq.s/m^3,TBC,2,false,2019-01-20 17:48:48.0
http://vocab.nerc.ac.uk/collection/P06/current/KMP2/,SDN:P06::KMP2,Kilograms per square metre,kg/m^2,Unavailable,1,false,2009-06-11 13:25:00.0
http://vocab.nerc.ac.uk/collection/P06/current/UKMC/,SDN:P06::UKMC,Kilograms per cubic metre,kg/m^3,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,SDN:P06::UUUU,Dimensionless,Dmnless,A quantity with the dimension of 1.,2,false,2017-10-22 14:07:46.0
http://vocab.nerc.ac.uk/collection/P06/current/KMPS/,SDN:P06::KMPS,Kilograms per metre per second,kg/m/s,Unavailable,1,false,2009-06-11 13:23:32.0
http://vocab.nerc.ac.uk/collection/P06/current/BQM3/,SDN:P06::BQM3,Becquerels per cubic metre,Bq/m^3,One radioactive disintegration per second from an SI standard unit of volume. Equivalent to millibecquerels per litre.,1,false,2018-02-02 16:35:30.0
http://vocab.nerc.ac.uk/collection/P06/current/MOLE/,SDN:P06::MOLE,Moles,mol,Unavailable,1,false,2009-06-11 14:27:17.0
http://vocab.nerc.ac.uk/collection/P06/current/DEGE/,SDN:P06::DEGE,Degrees east,degree_east,Unavailable,1,false,2009-06-17 14:23:55.0
http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,SDN:P06::ULAA,Metres,m,The base unit of length in the International System of Units.,2,false,2019-05-20 14:02:49.0
http://vocab.nerc.ac.uk/collection/P06/current/CMPS/,SDN:P06::CMPS,Cubic metres per second,m^3/s,A rate of volumetric flow of one SI unit of volume per one SI unit of time. Also known as 'cumecs'.,2,false,2017-12-11 18:51:03.0
http://vocab.nerc.ac.uk/collection/P06/current/KSP2/,SDN:P06::KSP2,Kilograms per square metre per second,kg/m^2/s,Unavailable,1,false,2009-06-11 13:25:51.0
http://vocab.nerc.ac.uk/collection/P06/current/PRSC/,SDN:P06::PRSC,per second,/s,Unavailable,1,false,2009-06-11 14:32:42.0
http://vocab.nerc.ac.uk/collection/P06/current/UFAA/,SDN:P06::UFAA,Watts per square metre,W/m^2,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/PASX/,SDN:P06::PASX,Pascals,Pa,The derived unit of pressure or stress in the international System of Units (SI). It is defined as one newton per square metre.,2,false,2019-05-20 14:42:26.0
http://vocab.nerc.ac.uk/collection/P06/current/UTAA/,SDN:P06::UTAA,Days,d,A time interval of 24 hours or 86400 seconds.,3,false,2014-05-06 09:20:49.0
http://vocab.nerc.ac.uk/collection/P06/current/PCUM/,SDN:P06::PCUM,per cubic metre,/m^3,Volume of a cube with sides of length 1 metre.,2,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/UPKA/,SDN:P06::UPKA,Kelvins,K,The base unit of temperature in the International System of Units.,3,false,2020-09-08 16:21:48.0
http://vocab.nerc.ac.uk/collection/P06/current/KGPS/,SDN:P06::KGPS,Kilogram per second,kg/s,Unavailable,1,false,2009-06-11 13:21:36.0
http://vocab.nerc.ac.uk/collection/P06/current/KSP3/,SDN:P06::KSP3,Kilograms per cubic metre per second,kg/m^3/s,Unavailable,1,false,2009-06-11 13:27:13.0
http://vocab.nerc.ac.uk/collection/P06/current/M2S2/,SDN:P06::M2S2,per square metre per second,/m^2/s,Unavailable,1,false,2009-07-06 21:31:54.0
http://vocab.nerc.ac.uk/collection/P06/current/M2MS/,SDN:P06::M2MS,Moles per square metre per second,mol/m^2/s,SI unit of quantity of matter per SI unit area per SI unit of time.,3,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/MLPS/,SDN:P06::MLPS,Moles per second,mol/s,Unavailable,1,false,2009-06-11 14:31:56.0
http://vocab.nerc.ac.uk/collection/P06/current/SQM2/,SDN:P06::SQM2,Square metres per second squared,m^2/s^2,Unavailable,1,false,2009-06-11 14:25:49.0
http://vocab.nerc.ac.uk/collection/P06/current/UPRM/,SDN:P06::UPRM,per metre,/m,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/MLM3/,SDN:P06::MLM3,Moles per cubic metre,mol/m^3,SI unit of quantity of matter per SI unit volume.,3,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/MPS2/,SDN:P06::MPS2,Metres per second squared,m/s^2,Unavailable,1,false,2009-06-11 13:29:41.0
http://vocab.nerc.ac.uk/collection/P06/current/PAPS/,SDN:P06::PAPS,Pascals per second,Pa/s,Unavailable,1,false,2009-06-11 12:49:05.0
http://vocab.nerc.ac.uk/collection/P06/current/KMTS/,SDN:P06::KMTS,Kelvin metres per second,K.m/s,Unavailable,1,false,2009-06-11 12:23:52.0
http://vocab.nerc.ac.uk/collection/P06/current/MPYR/,SDN:P06::MPYR,Metres per year,m/yr,A rate of change of SI standard unit length over a period of an average calendar year (365.25 days).,2,false,2017-02-28 12:21:09.0
http://vocab.nerc.ac.uk/collection/P06/current/WMSS/,SDN:P06::WMSS,Watts per square metre per steradian,W/m^2/sr,Unavailable,1,false,2009-06-11 13:07:03.0
http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,SDN:P06::UVAA,Metres per second,m/s,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/SQMS/,SDN:P06::SQMS,Square metres per second,m^2/s,Unavailable,1,false,2009-06-11 14:24:09.0
http://vocab.nerc.ac.uk/collection/P06/current/UPDB/,SDN:P06::UPDB,Decibars,dbar,Unavailable,2,false,2009-06-11 13:15:54.0
http://vocab.nerc.ac.uk/collection/P06/current/UNSM/,SDN:P06::UNSM,Newtons per square metre,N/m^2,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/PSTR/,SDN:P06::PSTR,per steradian,/sr,Unavailable,1,false,2010-03-12 09:24:38.0
http://vocab.nerc.ac.uk/collection/P06/current/KPRS/,SDN:P06::KPRS,Kelvin per second,K/s,Unavailable,1,false,2009-06-11 12:31:51.0
http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,SDN:P06::UAAA,Degrees,deg,A degree of arc or arc degree is a unit of measurement of a plane angle defined so that a full rotation is 360 degrees.,2,false,2020-04-07 09:57:38.0
http://vocab.nerc.ac.uk/collection/P06/current/UTHZ/,SDN:P06::UTHZ,Hertz,Hz,Unavailable,1,false,1996-02-28 11:48:52.0
http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/,SDN:P06::UMSQ,Square metres,m^2,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/UTBB/,SDN:P06::UTBB,Seconds,s,The duration of 9192631770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium 133 atom.,2,false,2014-05-06 09:22:27.0
http://vocab.nerc.ac.uk/collection/P06/current/MM3S/,SDN:P06::MM3S,Moles per cubic metre per second,mol/m^3/s,SI unit of quantity of matter per SI unit volume per SI unit of time.,3,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/M3SR/,SDN:P06::M3SR,Moles per square metre per second per steradian,mol/m^2/s/sr,Unavailable,1,false,2009-06-11 14:38:42.0
http://vocab.nerc.ac.uk/collection/P06/current/XXXX/,SDN:P06::XXXX,Not applicable,NA,The property is a nominal property to which the concept of unit does not apply.,1,false,2018-07-05 17:09:42.0
http://vocab.nerc.ac.uk/collection/P06/current/PMSR/,SDN:P06::PMSR,per metre per steradian,/m/sr,Unavailable,1,false,2009-06-11 13:47:38.0
http://vocab.nerc.ac.uk/collection/P06/current/WATT/,SDN:P06::WATT,Watts,W,The SI derived unit of power.,2,false,2013-07-16 12:53:11.0
http://vocab.nerc.ac.uk/collection/P06/current/WM2S/,SDN:P06::WM2S,Watts per square metre per metre per steradian,W/m^2/m/sr,Unavailable,1,false,2009-06-11 13:04:54.0
